id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
550844,Cannot push to gerrit: An error happened while checking if user has a signed agreement,NEW,None,Community,Gerrit,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2019-09-06 08:53 EDT by Sadik zoguz,2019-09-30 10:43 EDT,3 users
550845,widget disposed in StyledText,NEW,None,Platform,SWT,4.13,P3 normal,---,Platform-SWT-Inbox,,,,,,,2019-09-06 09:00 EDT by Daniel Migowski,2019-09-06 09:00 EDT,0 users
550846,[releng] build fails after upgrading to Guava 27.1,RESOLVED FIXED,None,Tracecompass,Releng,unspecified,P3 normal,5.1.0,Project Inbox,Project Inbox,,,,,,2019-09-06 10:04 EDT by Bernd Hufmann,2019-10-02 15:58 EDT,0 users
550847,Support for window/showMessageRequest,RESOLVED FIXED,None,lsp4e,General,0.10.0,P3 enhancement,0.12.0,Edmundo Lopez Bobeda,,,,,,,2019-09-06 10:21 EDT by Edmundo Lopez Bobeda,2019-09-12 08:22 EDT,1 user
550848,NPE in local search matcher initialization on plan access,NEW,None,Viatra,Query,2.2.1,P3 normal,---,Project Inbox,,,,,,,2019-09-06 11:44 EDT by Abel Hegedus,2019-10-08 07:37 EDT,1 user
550849,Cannot push to gerrit: An error happened while checking if user has a signed agreement,CLOSED DUPLICATE of bug 549810,None,Community,Gerrit,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2019-09-06 11:46 EDT by Anjali Gola,2019-09-06 11:58 EDT,1 user
550850,[release] iot.kuksa 0.1.0,RESOLVED FIXED,None,Community,Proposals and Reviews,unspecified,P3 normal,---,Eclipse Management Organization,,https://projects.eclipse.org/projects...,,,,,2019-09-06 13:23 EDT by Cydnie Smith,2019-09-18 07:44 EDT,4 users
550851,[release] tools.pdt 6.3.0,RESOLVED FIXED,None,Community,Proposals and Reviews,unspecified,P3 normal,---,Eclipse Management Organization,,https://projects.eclipse.org/projects...,,,,,2019-09-06 13:28 EDT by Cydnie Smith,2019-10-07 12:24 EDT,3 users
550852,Upgrade JaCoCo to 0.8.5,UNCONFIRMED,None,Eclemma,General,unspecified,P3 normal,---,Project inbox,,,,,552052 551798,,2019-09-06 18:21 EDT by Falko Modler,2019-10-12 09:14 EDT,1 user
550853,[13] incorrect inner yield classification leading to compilation error,RESOLVED FIXED,None,JDT,Core,4.13,P3 normal,BETA J13,Manoj Palat,,,,,,546581,2019-09-07 02:52 EDT by Manoj Palat,2019-09-07 04:12 EDT,2 users
550854,asdsD,NEW,None,EclipseLink,Build,unspecified,P3 normal,Future,Bo Liu,,,,,,,2019-09-07 07:27 EDT by subramani krishnan,2019-09-07 07:27 EDT,1 user
550855,ee,CLOSED DUPLICATE of bug 442999,None,PDE,UI,4.9,P3 normal,---,PDE-UI-Inbox,,,,,,,2019-09-07 07:32 EDT by subramani krishnan,2019-09-07 08:01 EDT,1 user
