166,IDEA-123665 richcopy enabled for console and highlighters
2014-04-10T16:10:10Z,commit,infer nullity: preview with ability to exclude some usages(IDEA-12311¡­,github.com/JetBrains/intellij-community/pull/166/commits/b8249580db57fcd3d4c1c45da3bfc0fe1e3f9ac0
2014-04-10T17:07:06Z,commit,try to start javafx without main (IDEA-101939),github.com/JetBrains/intellij-community/pull/166/commits/02724fc1db27fc0980f9e0229d470b4a577bc990
2014-04-10T17:57:31Z,commit,copyright: allow to skip files with existing copyrights (IDEA-121912),github.com/JetBrains/intellij-community/pull/166/commits/925a1869d25c29f72bd0bf3204ebb11964ebb57b
2014-04-10T18:07:11Z,commit,"IDEA-123818 Inspection ""JUnit TestCase with non-trivial constructors""¡­",github.com/JetBrains/intellij-community/pull/166/commits/025232d50c3ad3422c83bfb758d058dede148191
2014-04-10T18:08:16Z,commit,Platform: not-null SimpleProgramParameters.getEnv,github.com/JetBrains/intellij-community/pull/166/commits/e1aa83075bae3d43f0d46663813d323f07769990
2014-04-10T18:59:43Z,commit,rerun failed tests: include all parameterized if one have failed (IDE¡­,github.com/JetBrains/intellij-community/pull/166/commits/ee8955d38dc5d3cbe89d0851524a973167eed58a
2014-04-10T19:01:02Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/166/commits/7e745629038cd53ad218153392c415b9f81267a1
2014-04-10T19:44:43Z,commit,User/password dialog,github.com/JetBrains/intellij-community/pull/166/commits/18bec53fedc357c62980b667706aa4a61f565c2f
2014-04-10T19:51:35Z,commit,renamed,github.com/JetBrains/intellij-community/pull/166/commits/17ae7cb87f56c43edee12a95d79f5feb1fd5310d
2014-04-10T19:50:29Z,commit,move more logic from CacheUpdateSession to CacheUpdateRunner,github.com/JetBrains/intellij-community/pull/166/commits/ea048db8a35bbe2d9645211b44efc5dfaeed9f8d
2014-04-10T20:10:46Z,commit,run pushers in background,github.com/JetBrains/intellij-community/pull/166/commits/542bb74d272b05c9ea24ed5c760651432c565012
2014-04-10T21:15:04Z,commit,"ability to store PHM<Key,Integer> in more compact format",github.com/JetBrains/intellij-community/pull/166/commits/c8e27bf3d361fcd49e2e1819ca37fd304d980b57
2014-04-10T14:40:10Z,commit,known recursion manager prototype,github.com/JetBrains/intellij-community/pull/166/commits/458ffce3e6a4d825f7f65e9c15e8e400c8e3f88d
2014-04-11T05:54:26Z,commit,tuple and map types improved.,github.com/JetBrains/intellij-community/pull/166/commits/397567d2c29fbe2fce13ac8e2da2029358ed3cd9
2014-04-11T07:56:40Z,commit,another attempt to reimplement IDEA-53663,github.com/JetBrains/intellij-community/pull/166/commits/09215e7c03180bdc3dd6021d54f094bf5f942f7d
2014-04-11T08:31:49Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/166/commits/a11b289e8eb09c77fbaebf05f3babefd17e1f989
2014-04-11T09:03:42Z,commit,IDEA-111803 Breakpoint indicator on the right gutter,github.com/JetBrains/intellij-community/pull/166/commits/88b4b7225e9ac7a108c0b3e75db1decd39229982
2014-04-11T09:04:26Z,commit,init: speed up scope variables loading,github.com/JetBrains/intellij-community/pull/166/commits/3201ec7dba297ca20f03445bf34703ce45b7394a
2014-04-11T09:53:59Z,commit,gradle: avoid distributions downloading in tests,github.com/JetBrains/intellij-community/pull/166/commits/f8863d67626e3a30914d783336565724aa556fb2
2014-04-11T10:29:49Z,commit,"use snapshot mapping for IdIndex / TrigramIndex for storing keys, rig¡­",github.com/JetBrains/intellij-community/pull/166/commits/8b124a1d3fc73057146318cd60c0812cd140cdda
2014-04-11T10:32:57Z,commit,IDEA-82961 Mute breakpoints turns off when when start a new debug ses¡­,github.com/JetBrains/intellij-community/pull/166/commits/6b7e24c9bff834fe05653165012e87f6a5099c23
2014-04-11T10:43:37Z,commit,less duplicated code,github.com/JetBrains/intellij-community/pull/166/commits/0d2d5d31802abd7e997fa702028c58ff98bf7ff8
2014-04-11T07:41:58Z,commit,"get rid of unnecessary invokeLater, check whether the module is disposed",github.com/JetBrains/intellij-community/pull/166/commits/91d363f3ab90b695267415b17eee79562dfa42c6
2014-04-11T11:12:04Z,commit,IDEA-123820 Typeless Groovy catch parameter is Exception,github.com/JetBrains/intellij-community/pull/166/commits/471e1f9c186fe57913b459bfa670c6bc470736d7
2014-04-11T11:22:34Z,commit,correct font sizing when copying as HTML,github.com/JetBrains/intellij-community/pull/166/commits/42c1335f7bb7f18f768923481ea5eb883988735f
