377,145
2016-04-01T06:20:31Z,discuss,"
No description provided.
"
2016-03-23T16:42:32Z,commit,added new check for nested access of indices (that might lead to dead¡­,github.com/JetBrains/intellij-community/pull/377/commits/8d306a27b64a30c126b93bc0b08c9ea518da0fc0
2016-03-23T19:03:05Z,commit,Update dialog adjusted to the new version format,github.com/JetBrains/intellij-community/pull/377/commits/4669202633d656bef0a08ca2db9a04cc3fd43063
2016-03-17T16:00:20Z,commit,ToolbarDecor: multi-selection movements,github.com/JetBrains/intellij-community/pull/377/commits/de18938012cbcfb3015dde2b7ea682e81dedd3d3
2016-03-17T16:52:40Z,commit,JSON Schema: move to Schemas & DTDs,github.com/JetBrains/intellij-community/pull/377/commits/ce10436f8d312de94563607b17e37b6443c9f425
2016-03-21T14:55:09Z,commit,IDEA-126952 Scratches should have an extension,github.com/JetBrains/intellij-community/pull/377/commits/986c48dae2a07be4d0fe29a8b24a71fe9c6827ca
2016-03-21T18:22:22Z,commit,convert to io.File API to avoid write-action on startup,github.com/JetBrains/intellij-community/pull/377/commits/955c62428980d3442e70b2c3a15a88599e8b8a3f
2016-03-22T15:45:36Z,commit,in-debug mode fixed,github.com/JetBrains/intellij-community/pull/377/commits/33ddfd20b88af1de7381f95324d012887a3a43a7
2016-03-22T21:04:29Z,commit,UIInspector: basic editing capabilities,github.com/JetBrains/intellij-community/pull/377/commits/556f545e34621f69adecadf0853d6dfcf9dfbd74
2016-03-22T21:18:12Z,commit,Run configurations UI: limit combobox sizes for very long Python SDK ¡­,github.com/JetBrains/intellij-community/pull/377/commits/ec00124e1df92c67bdf589b273d9904ebc11ebdc
2016-03-23T17:20:03Z,commit,UIInspector: basic editing capabilities: 2,github.com/JetBrains/intellij-community/pull/377/commits/15dbde238e0f34e77364a9dec078b3376b421c5e
2016-03-10T17:29:59Z,commit,Improve performance of AppearanceConfigurable loading:,github.com/JetBrains/intellij-community/pull/377/commits/554a852a8e2e20a64f6e4c799bfe14de960ef7b6
2016-03-24T14:00:39Z,commit,IDEA-153364 Warning 'Cannot modify read-only scheme' when no one sett¡­,github.com/JetBrains/intellij-community/pull/377/commits/6d60beb1b47b77eb02936e5ff915252b499c9cf8
2016-03-09T18:35:07Z,commit,speed search in results preview based on file names of results (IDEA-¡­,github.com/JetBrains/intellij-community/pull/377/commits/78f69c1479d25f40640c3d3302ab21f2deaa7695
2016-03-22T15:50:40Z,commit,IDEA-153426 Debugging streams and lamdas: debugger enters unexpectedl¡­,github.com/JetBrains/intellij-community/pull/377/commits/3c778047c986e59640f51a66674780a5643ae5cb
2016-03-16T16:24:53Z,commit,remove invalid jdk annotation (IDEA-153063),github.com/JetBrains/intellij-community/pull/377/commits/1e4ea112a23cc292b8e42375bbc047fe232cedcc
2016-03-18T15:06:39Z,commit,IDEA-152736 IntelliJ IDEA refuses to print with no space between cast,github.com/JetBrains/intellij-community/pull/377/commits/764570f7db225edcb4b73932948586e0988544b9
2016-03-25T10:27:10Z,commit,gradle: clean-up resolver temporary cached data,github.com/JetBrains/intellij-community/pull/377/commits/7b3d44c939f24f054866a0e285d604e38c4fe6b3
2016-03-25T10:28:34Z,commit,IDEA-153485 Test Module dependencies defined in Gradle is not correct¡­,github.com/JetBrains/intellij-community/pull/377/commits/a268a152930a5325a11978551ddad05c0958ad2c
2016-03-23T17:21:34Z,commit,DBE-874 Ability to group files by their purposes; don't show project ¡­,github.com/JetBrains/intellij-community/pull/377/commits/837780a0adbbf0de4961447f27207c99534100ed
2016-03-23T20:29:59Z,commit,remove author and date,github.com/JetBrains/intellij-community/pull/377/commits/ad3cc9d2e2adf81bef445a9540824ce0b67b7431
2016-03-25T11:04:36Z,commit,find settings: add *.sql to recent extensions list,github.com/JetBrains/intellij-community/pull/377/commits/168f221fc787ab4c7769d51f961bbfc2b5f4059c
