1212,It is recommended to add a json view window.
2019-10-12T07:36:00Z,discuss,"Many times the String variable is json. If it is displayed in txt format, it is not convenient to read. Add json formatting window for easy reading."
2019-10-12T07:36:00Z,discuss,"
"
2019-10-12T07:36:00Z,discuss,"I believe that in the following way, the json type is a String variable that is more pleasing to the eye.
"
2019-10-10T13:27:42Z,commit,Some more dynamic EPs,github.com/JetBrains/intellij-community/pull/1212/commits/1712be7ea642cfa90d62aa734b74dd4683f01d77
2019-10-10T13:42:00Z,commit,More unloadable EPs,github.com/JetBrains/intellij-community/pull/1212/commits/458785b730c85e40badbeac6c6f491de8b948ff5
2019-10-10T13:53:28Z,commit,Don't log PCE,github.com/JetBrains/intellij-community/pull/1212/commits/04351b1e2f8ea916d4272f23c24782b3e3769620
2019-10-10T16:18:14Z,commit,[wizard] removed fetching component sizes in headless environment,github.com/JetBrains/intellij-community/pull/1212/commits/930282093c1799da1e8e6ff076b7f0e773149dee
2019-10-10T15:39:53Z,commit,Remove unused constructor,github.com/JetBrains/intellij-community/pull/1212/commits/2dc258d802730abbfe2b59075b6bb8fc0e5a277e
2019-10-10T16:04:41Z,commit,Typesafe EP_NAME for SpellcheckingStrategy,github.com/JetBrains/intellij-community/pull/1212/commits/e19dab1cc2614ce7d07881e65ab2f7814418e409
2019-10-10T16:09:13Z,commit,Remove unnecessary cache of ProblemFileHighlightFilters,github.com/JetBrains/intellij-community/pull/1212/commits/4fdb6e03b434b770912bc4dea9261741ed1fe22a
2019-10-10T16:18:01Z,commit,Remove unnecessary cache of ExtendWordSelectionHandlers,github.com/JetBrains/intellij-community/pull/1212/commits/b90ce009a01cbd2d1572ccad608d87c118d9fe83
2019-10-10T16:42:22Z,commit,Action to analyze safety of EP usages,github.com/JetBrains/intellij-community/pull/1212/commits/5ebdd264fad8661f8af1c28063d1f3f02d9ede6e
2019-10-10T16:42:59Z,commit,More dynamic EPs,github.com/JetBrains/intellij-community/pull/1212/commits/9783fc503d95760246ea1553faa473513e7bec60
2019-10-10T16:45:35Z,commit,provide a way to guarantee stdout/stderr messages ordering (IDEA-7001¡­,github.com/JetBrains/intellij-community/pull/1212/commits/c931bdc26839b12ae3b500d154d2ee0fe11b39ad
