1126,make getExecutable() generate a platform-specific filename
2019-04-20T09:34:37Z,discuss,"Hi there,"
2019-04-20T09:34:37Z,discuss,"I'm trying to get the PyCharm IDE running faster on a Jetson Nano (linux-aarch64). Compiling the fsnotifier source with the local GCC is straight-forward enough (integrating the change into the build process is not yet), however NativeFileWatcherImpl.getExecutable() will error out with unsupported platform if it's not one of the specifically encoded platforms. To make this a little more hackable, I have changed the code to give a platform-specific executable name to look for instead. This way, providing fsnotifier-aarch64 on the Jetson Nano should do the trick without further need to change the PyCharm package.
There is room for improvement for sure, like ensuring that you get to know the filename that is wanted, however this is a start."
2019-05-08T19:53:50Z,commit,[tests] makes IdeaDecompilerTest#testPerformance pass on Java 11,github.com/JetBrains/intellij-community/pull/1126/commits/ba1d7a1b4e3a061a18865c7f4ce36dd5b609001b
2019-05-08T19:56:08Z,commit,Cleanup (dead code; warnings),github.com/JetBrains/intellij-community/pull/1126/commits/679c252652698da6e6ae9407cf284ee21f9fb220
2019-05-08T20:05:42Z,commit,Cleanup (warnings; formatting),github.com/JetBrains/intellij-community/pull/1126/commits/f11b7ba42da6a3b45a212c65a59fb686d6f08b57
2019-05-08T20:13:07Z,commit,Cleanup (warnings; formatting),github.com/JetBrains/intellij-community/pull/1126/commits/aee4c4faff09e81b0ec497a5ad193db751029335
2019-05-08T20:46:31Z,commit,[tests] makes JarFileSystemTest pass on malformed JDK,github.com/JetBrains/intellij-community/pull/1126/commits/9fe3fe74f65bf53eced3484e4c8f334983513ca7
2019-05-08T21:00:37Z,commit,Cleanup (moves utility method to more appropriate location),github.com/JetBrains/intellij-community/pull/1126/commits/215dbf50c5d89c4893524f47fea39366ecea708d
2019-05-08T21:02:40Z,commit,Cleanup (warnings; formatting),github.com/JetBrains/intellij-community/pull/1126/commits/41dd5cb31a6c02d5c23ead752161aa54f807bebe
2019-05-08T21:09:06Z,commit,Cleanup (warnings; formatting),github.com/JetBrains/intellij-community/pull/1126/commits/3480ae542a49e7f95fde8fcefd8bbba9f55d402d
2019-05-08T23:30:56Z,commit,migrate simple renderers to SimpleListCellRenderer,github.com/JetBrains/intellij-community/pull/1126/commits/de1646da317578bc27994c5803b78e6960180a88
2019-05-09T01:36:07Z,commit,add missing JLabel support (SimpleListCellRenderer),github.com/JetBrains/intellij-community/pull/1126/commits/c9fc8f150e52e514858fa2a73eb7a7247c5275b7
