658,how to edit privacy policy
2013-01-09T14:06:56Z,commit,DEA-13269 Sync Resource Bundle view with text view for a properties file,github.com/JetBrains/intellij-community/pull/658/commits/3aad0d9a11862c087c8452096b3664aa95d5d8a1
2013-01-09T16:20:34Z,commit,fix AllIcons.Actions.RefreshUsages?,github.com/JetBrains/intellij-community/pull/658/commits/ca4d33c89f7b907f6e8058e309728ce43e80596c
2013-01-09T16:52:19Z,commit,Startup crash on icon loading fixed,github.com/JetBrains/intellij-community/pull/658/commits/f0ac1c4a00b18b10240ea471fcdda7f359a68af9
2013-01-10T08:26:49Z,commit,Merge remote-tracking branch 'origin/123' into 123,github.com/JetBrains/intellij-community/pull/658/commits/da5e7a9cf7ac02cf31a3b418d016f3e2132da256
2012-12-25T14:27:42Z,commit,IDEA-97932 Maven project ignoring dependencies in profiles.,github.com/JetBrains/intellij-community/pull/658/commits/d2f0de6ed7f9a01a250d27ddcecf992de619012b
2013-01-10T14:53:52Z,commit,IDEA-97476 Connection through a proxy is not working,github.com/JetBrains/intellij-community/pull/658/commits/5e99a6dc28ab344d375f98b98b7e6e230b4d3f2d
2013-01-10T16:16:08Z,commit,IDEA-98233 Problem with debugger in Grails 2.2.0 + Intellij 12.0.2 (b¡­,github.com/JetBrains/intellij-community/pull/658/commits/33f6a2d54f22766bf7a00f890d81035d012e06a7
2013-01-09T17:17:28Z,commit,an attempt to fix diagram performance (IDEA-98769),github.com/JetBrains/intellij-community/pull/658/commits/ae5a06413f750f283e99b8955b3ff9a99588d8de
2013-01-11T07:28:41Z,commit,Merge remote-tracking branch 'origin/123' into 123,github.com/JetBrains/intellij-community/pull/658/commits/4eafb96547deb23d1d05f9a7a37b87bf751cfe31
2013-01-10T11:47:14Z,commit,IDEA-98807 Resource compiler: resources not copied to target director¡­,github.com/JetBrains/intellij-community/pull/658/commits/56595240d63a9ad06fe7c841ef9bb28147ffda12
