id,title,status,importance
80345,expand element work boundaries,RESOLVED FIXED,P3 normal
80346,problem open link file error markers,RESOLVED WORKSFORME,P3 normal
80347,make operate current line selection exist,CLOSED DUPLICATE of bug 23625,P3 enhancement
80348,code layout support smart mixture tabs space,RESOLVED DUPLICATE of bug 49896,P3 enhancement
80349,extract local variable refactoring remember final state,RESOLVED FIXED,P3 normal
80350,fontfieldeditor modification return string end,RESOLVED INVALID,P4 normal
80351,file permission cvs checkout work properly,RESOLVED DUPLICATE of bug 22923,P3 critical
80352,pde build cannot build feature,RESOLVED INVALID,P3 major
80353,allow copy class,RESOLVED DUPLICATE of bug 37823,P3 enhancement
80354,bugzilla behave like normal website back button possible,CLOSED FIXED,P3 major
80355,return negative length annotationtypememberdeclaration,RESOLVED WORKSFORME,P3 normal
80356,strange recovery local variable,RESOLVED WONTFIX,P3 normal
80357,table handle newline character text ms windows,RESOLVED FIXED,P3 normal with 1 vote
80358,use cvs behind proxy,RESOLVED WORKSFORME,P3 enhancement
80359,selection inside comment use surround refactoring,VERIFIED FIXED,P3 normal
80360,project tree,RESOLVED WONTFIX,P3 enhancement
80361,profile monitor navigator loose unsaved resources,CLOSED WORKSFORME,P3 normal
80362,dialog window resizeable linux gtk,RESOLVED WORKSFORME,P3 normal
80363,improve doc,ASSIGNED,P5 normal
80364,parameter work exist field,VERIFIED FIXED,P3 normal
80365,use version generate internal compiler error,VERIFIED WORKSFORME,P3 normal
80366,field constructor parameter,RESOLVED WONTFIX,P3 enhancement
80367,rac crash run wrong case,CLOSED FIXED,P3 normal
80368,java source sort members cause compile errors,RESOLVED DUPLICATE of bug 35398,P3 normal
80369,import wizard log sample example show error sdb,CLOSED FIXED,P3 normal
80370,rac crash run wrong case,CLOSED FIXED,P3 normal
80371,suggest name,RESOLVED DUPLICATE of bug 67974,P3 enhancement
80372,select default directory cause error hyades,CLOSED INVALID,P3 normal
80373,pin console lose relaunch debug process,VERIFIED FIXED,P3 normal
80374,expand work,RESOLVED DUPLICATE of bug 80240,P3 normal
80375,wsdl model load wsdl file end,CLOSED FIXED,P3 normal
80376,allow put source directory classpath well,RESOLVED WORKSFORME,P3 critical
80377,read clabel,NEW,P3 normal
80378,javadoc need polish,VERIFIED FIXED,P3 trivial
80379,microseconds appear log interactions,CLOSED FIXED,P3 normal
80380,branch content assist show tag repositories,VERIFIED FIXED,P3 normal
80381,scopedpreferencestore also work projectscopes,NEW,P5 enhancement
80382,result divide error ant editor,VERIFIED FIXED,P2 major
80383,trace code cause classformaterror disable open java file,RESOLVED WORKSFORME,P3 normal
80384,cannot decode package signature completionproposal,VERIFIED FIXED,P3 normal
80385,basic project property page go,VERIFIED FIXED,P3 critical
80386,cannot clear cvs console since,RESOLVED WORKSFORME,P3 normal
80387,npe open compare editor,RESOLVED FIXED,P3 normal
80388,find dialog layout become invalidate leave open long time,RESOLVED DUPLICATE of bug 31931,P3 normal
